fecha_hora,estadio_locaclidad,local,visita,resultado,goles local,goles_visita
"3 de mayo de 2015, 15:30","Carlos Dittborn, Arica","San Marcos de Arica","Audax Italiano","3:0 (1:0)","Rentería  45+2' ,  49'

Harbottle  89'",""
"3 de mayo de 2015, 15:30","Nelson Oyarzún Arenas, Chillán","Ñublense","Cobreloa","3:2 (1:1)","Cisternas  31'

Riquero  64'

Sagredo  67'","Cristaldo  7'

Barboza  61'"
"3 de enero de 2015, 16:00","El Cobre, El Salvador","Cobresal","Universidad de Chile","1:1 (0:0)","Cantero  50'","Suárez  90+1'"
"4 de febrero de 2015, 16:00","El Cobre, El Salvador","Cobresal","Audax Italiano","3:1 (0:0)","Cantero  67' ,  86'

Zuñiga  82'  (pen.)","Olivi  47'"
"9 de enero de 2015, 21:00","Municipal, Santiago (La Florida)","Audax Italiano","Deportes Antofagasta","1:1 (0:1)","Delfino  86'  (a.g.)","Farfán  31'"
"10 de enero de 2015, 20:30","Nicolás Chahuán Nazar, La Calera","Unión La Calera","Barnechea","3:0 (1:0)","Pineda  45+1'

Rosales  69'

Costa  88'",""
"14 de febrero de 2015, 18:30","Nicolás Chahuán Nazar, La Calera","Unión La Calera","Universidad de Concepción","2:0 (0:0)","Silva  62' ,  90+8'",""
"27 de febrero de 2015, 21:00","El Teniente, Rancagua","O'Higgins","Barnechea","3:1 (0:0)","Acevedo  50'

Calandria  59' ,  63'","Escalante  84'  (pen.)"
"4 de abril de 2015, 15:30","El Teniente, Rancagua","O'Higgins","Santiago Wanderers","1:1 (1:0)","Pinto  28'","Prieto  46'"
"11 de enero de 2015, 21:00","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Cobreloa","0:1 (0:1)","","Gaitán  44'"
"15 de marzo de 2015, 17:00","Luis Becerra Constanzo, Calama","Cobreloa","Unión Española","1:1 (0:1)","Barboza  90+3'  (pen.)","Mirosevic  27'"
"13 de marzo de 2015, 20:00","El Teniente, Rancagua","O'Higgins","Deportes Iquique","1:0 (0:0)","Calandria  47'",""
"18 de abril de 2015, 20:30","Nelson Oyarzún Arenas, Chillán","Ñublense","Santiago Wanderers","1:1 (1:0)","Varas  31'","Cellerino  47'"
"15 de febrero de 2015, 18:30","Municipal, Santiago (La Cisterna)","Palestino","San Marcos de Arica","0:4 (0:2)","","Ramos  7'

Barrios  29'

González  65' ,  76'"
"25 sde abril de 2015, 16:00","Municipal, Santiago (La Cisterna)","Palestino","Unión Española","2:3 (1:2)","Díaz  16'

Ahumada  77'","Mirosevic  32'  (pen.)

Ferreyra  40'

Currimilla  54'"
